date,industry_name,pct_change,close,net_inflow,net_amount_rate,super_large_inflow,large_inflow,rank,etf_code,etf_name
20240403,有色金属,2.94,14834.27,22.6519424,6.33,18.72649472,3.92544768,1,512400,有色ETF
20240403,小金属,3.13,1615.34,13.22868256,5.71,7.7551056,5.47357696,2,512400,有色ETF
20240403,贵金属,4.44,1104.99,7.14140016,5.13,7.31077264,-0.16937248,3,512400,有色ETF
20240403,煤炭行业,2.77,11262.64,7.0702008,5.5,3.06479856,4.00540224,4,515220,煤炭ETF
20240403,农牧饲渔,1.49,12370.11,6.78732272,5.95,6.030916,0.75640672,5,510150,消费ETF
20240403,能源金属,0.7,464.96,2.16194224,1.51,0.59965504,1.5622872,7,512400,有色ETF
20240403,酿酒行业,0.32,51945.83,1.34970128,1.01,3.76951072,-2.41980944,11,512690,白酒ETF
20240403,石油行业,0.53,5314.94,1.25774736,1.44,2.13708624,-0.87933888,13,510300,沪深300ETF
20240403,船舶制造,-0.8,751.89,1.00550608,2.53,0.80490272,0.20060336,16,512660,军工ETF
20240403,医药商业,0.1,992.21,-0.05523021,-0.24,0.18936211,-0.24459232,19,159929,医药ETF
20240403,公用事业,0.02,7016.72,-0.20304559,-1.15,-0.27090079,0.0678552,21,561380,电网设备ETF
20240403,装修装饰,-0.35,416.38,-0.35712264,-1.24,0.82171592,-1.17883856,22,510300,沪深300ETF
20240403,燃气,1.06,1350.47,-0.4326244,-1.71,0.26398152,-0.69660592,24,561380,电网设备ETF
20240403,水泥建材,-0.29,21797.21,-0.56688743,-2.33,0.13743577,-0.7043232,29,510300,沪深300ETF
20240403,食品饮料,1.13,22315.26,-1.06945152,-0.79,-0.21410544,-0.85534608,37,510150,消费ETF
20240403,工程建设,-0.2,18745.18,-1.36881232,-1.14,0.8558608,-2.22467312,44,510300,沪深300ETF
20240403,中药,0.13,1430.86,-1.4161368,-1.56,-0.95192992,-0.46420688,45,159929,医药ETF
20240403,航天航空,-1.87,35341.31,-1.49143328,-2.0,0.149136,-1.64056928,48,512660,军工ETF
20240403,医疗器械,-0.49,752.52,-1.58369081,-1.77,-1.65127001,0.0675792,49,159929,医药ETF
20240403,商业百货,0.91,13210.77,-1.59432176,-2.45,-1.69601584,0.10169408,50,510150,消费ETF
20240403,化学制药,-0.24,25463.26,-1.79149488,-1.13,0.20838896,-1.99988384,51,159929,医药ETF
20240403,生物制品,-0.56,792.99,-2.56268656,-3.41,-1.60680816,-0.9558784,54,510660,创新药ETF
20240403,风电设备,-3.38,938.09,-3.00208476,-5.33,-1.54313596,-1.4589488,58,516160,新能源ETF
20240403,家电行业,-0.69,15873.66,-3.01629312,-2.2,-2.07653504,-0.93975808,59,510150,消费ETF
20240403,旅游酒店,-0.46,14018.46,-3.2455272,-5.65,-2.24225152,-1.00327568,61,510150,消费ETF
20240403,电力行业,-0.14,15037.58,-3.25436048,-2.36,-0.31214816,-2.94221232,62,561380,电网设备ETF
20240403,半导体,-0.54,990.38,-3.40678816,-0.97,0.08958304,-3.4963712,63,512480,半导体ETF
20240403,医疗服务,-0.74,974.85,-5.0936872,-5.62,-1.9580936,-3.1355936,67,510660,创新药ETF
20240403,光伏设备,-1.72,1184.6,-5.66939232,-3.95,-2.85678928,-2.81260304,68,516290,光伏ETF
20240403,电池,-0.93,874.31,-5.76177024,-2.05,-3.64660096,-2.11516928,69,516160,新能源ETF
20240403,游戏,-3.28,973.8,-7.17764736,-8.9,-2.99338,-4.18426736,70,159869,游戏ETF
20240403,证券,-0.66,115039.67,-7.9001952,-5.95,-5.32311536,-2.57707984,72,512880,证券ETF
20240403,汽车整车,-1.64,1331.88,-8.2708784,-5.5,-6.84616912,-1.42470928,73,515030,新能源车ETF
20240403,电网设备,-1.59,20146.44,-8.36675424,-5.75,-4.29936384,-4.0673904,74,561380,电网设备ETF
20240403,银行,-0.28,3030.06,-10.7293784,-7.55,-5.89981472,-4.82956368,78,512800,银行ETF
20240403,汽车零部件,-2.37,28888.67,-15.18022112,-4.94,-6.98094304,-8.19927808,82,515030,新能源车ETF
20240403,文化传媒,-3.2,8717.01,-17.56006064,-7.24,-8.39288496,-9.16717568,83,512980,传媒ETF
20240403,软件开发,-2.74,722.83,-22.15501168,-7.11,-11.69583984,-10.45917184,84,515230,软件ETF
20240403,通信设备,-2.65,10376.35,-22.21956272,-7.57,-12.32573872,-9.893824,85,515880,通信ETF
20240403,互联网服务,-2.87,17359.27,-22.70443136,-7.89,-9.863328,-12.84110336,86,515230,软件ETF
