date,industry_name,pct_change,close,net_inflow,net_amount_rate,super_large_inflow,large_inflow,rank,etf_code,etf_name
20250225,汽车整车,1.6,1666.64,8.35523584,3.05,7.96262656,0.39260928,1,515030,新能源车ETF
20250225,煤炭行业,-0.47,9955.4,1.72303024,2.05,-0.01540928,1.73843952,6,515220,煤炭ETF
20250225,光伏设备,0.7,1105.05,1.22971744,0.43,2.74045024,-1.5107328,9,516290,光伏ETF
20250225,家电行业,-0.6,21180.09,0.60241408,0.14,1.50926336,-0.90684928,11,510150,消费ETF
20250225,能源金属,1.95,471.08,0.57188576,0.48,1.27243664,-0.70055088,13,512400,有色ETF
20250225,风电设备,1.5,1038.47,0.27362384,0.37,0.22340176,0.05022208,15,516160,新能源ETF
20250225,贵金属,-0.72,1138.98,0.2201464,0.43,0.37950048,-0.15935408,17,512400,有色ETF
20250225,公用事业,-0.56,8049.68,0.05564787,0.24,-0.00018109,0.05582896,19,561380,电网设备ETF
20250225,装修装饰,-0.29,505.07,-0.17464125,-0.62,-0.26438829,0.08974704,23,510300,沪深300ETF
20250225,水泥建材,-1.36,23408.79,-0.67330748,-1.8,-0.49343228,-0.1798752,28,510300,沪深300ETF
20250225,燃气,-0.72,1434.95,-0.96157325,-5.79,-0.44431549,-0.51725776,31,561380,电网设备ETF
20250225,商业百货,0.28,16606.45,-1.0371384,-0.65,-0.14656464,-0.89057376,33,510150,消费ETF
20250225,食品饮料,-0.35,24983.63,-1.76731968,-1.15,-1.09365248,-0.6736672,41,510150,消费ETF
20250225,电池,0.24,1017.65,-2.19944704,-0.58,0.29470976,-2.4941568,44,516160,新能源ETF
20250225,医疗器械,-0.89,828.64,-2.21539952,-1.18,-0.25867888,-1.95672064,45,159929,医药ETF
20250225,旅游酒店,-0.86,14049.0,-2.4479648,-5.01,-1.3103768,-1.137588,46,510150,消费ETF
20250225,医药商业,-1.13,989.78,-2.80815734,-8.14,-1.16767382,-1.64048352,47,159929,医药ETF
20250225,中药,-1.05,1315.74,-3.93170288,-5.0,-2.42194976,-1.50975312,53,159929,医药ETF
20250225,船舶制造,-1.11,807.29,-4.05033824,-9.61,-2.50839792,-1.54194032,55,512660,军工ETF
20250225,生物制品,-0.79,832.71,-4.34489648,-4.36,-1.2797864,-3.06511008,57,510660,创新药ETF
20250225,石油行业,-0.07,5400.65,-4.37057488,-8.33,-0.52558032,-3.84499456,58,510300,沪深300ETF
20250225,小金属,-0.36,1956.88,-5.4523944,-3.42,-2.08221312,-3.37018128,60,512400,有色ETF
20250225,化学制药,-1.19,27790.84,-6.42563632,-3.38,-3.58764416,-2.83799216,61,159929,医药ETF
20250225,医疗服务,-1.05,1081.14,-6.65945264,-3.64,-3.68080048,-2.97865216,63,510660,创新药ETF
20250225,有色金属,-0.58,16289.7,-7.17776608,-3.82,-6.719224,-0.45854208,65,512400,有色ETF
20250225,电力行业,-0.98,15191.48,-7.36544416,-4.44,-5.3592296,-2.00621456,66,561380,电网设备ETF
20250225,工程建设,-1.3,22062.54,-7.62402304,-4.94,-3.57031968,-4.05370336,67,510300,沪深300ETF
20250225,电网设备,-1.01,26029.34,-10.81745296,-3.76,-3.132868,-7.68458496,72,561380,电网设备ETF
20250225,航天航空,-0.48,43671.74,-11.05605216,-8.38,-3.7731816,-7.28287056,73,512660,军工ETF
20250225,游戏,-1.75,1248.52,-11.95048512,-5.94,-6.96416576,-4.98631936,74,159869,游戏ETF
20250225,农牧饲渔,-2.26,12827.1,-13.62269392,-7.83,-6.20361968,-7.41907424,75,510150,消费ETF
20250225,汽车零部件,1.09,39188.23,-14.6680192,-1.92,-3.9684352,-10.699584,76,515030,新能源车ETF
20250225,酿酒行业,-1.81,48142.24,-16.34594,-11.35,-6.82991104,-9.51602896,77,512690,白酒ETF
20250225,银行,-0.94,3651.34,-18.34607472,-8.08,-13.80380528,-4.54226944,79,512800,银行ETF
20250225,证券,-1.53,141196.97,-24.02337856,-10.93,-16.83810624,-7.18527232,81,512880,证券ETF
20250225,通信设备,-0.06,14376.78,-32.38388992,-4.37,-13.6720896,-18.71180032,82,515880,通信ETF
20250225,半导体,0.39,1562.69,-38.03963392,-2.55,-23.85182464,-14.18780928,83,512480,半导体ETF
20250225,文化传媒,-2.19,10290.19,-42.06429808,-9.52,-22.03121776,-20.03308032,84,512980,传媒ETF
20250225,互联网服务,-0.36,28474.02,-52.78606848,-3.84,-24.12349696,-28.66257152,85,515230,软件ETF
20250225,软件开发,-0.84,1226.77,-94.8253184,-6.07,-42.26759424,-52.55772416,86,515230,软件ETF
