date,industry_name,pct_change,close,net_inflow,net_amount_rate,super_large_inflow,large_inflow,rank,etf_code,etf_name
20240130,贵金属,-1.56,817.18,0.17490352,0.52,0.3940656,-0.21916208,2,512400,有色ETF
20240130,电力行业,-1.03,14126.38,-0.02964288,-0.02,0.092164,-0.12180688,4,561380,电网设备ETF
20240130,公用事业,-0.89,7127.57,-0.04371169,-0.2,0.77279455,-0.81650624,5,561380,电网设备ETF
20240130,家电行业,-3.03,14460.25,-0.08798224,-0.07,0.51502848,-0.60301072,6,510150,消费ETF
20240130,燃气,-2.1,1286.57,-0.10961687,-0.91,-0.08791369,-0.02170318,9,561380,电网设备ETF
20240130,风电设备,-2.29,849.08,-0.35191597,-1.43,-0.18549549,-0.16642048,13,516160,新能源ETF
20240130,装修装饰,-3.12,424.4,-0.48278447,-1.47,0.00034113,-0.4831256,16,510300,沪深300ETF
20240130,农牧饲渔,-1.95,12041.54,-0.5409008,-0.73,-0.0711192,-0.4697816,19,510150,消费ETF
20240130,船舶制造,-1.18,719.19,-0.62205856,-1.23,-0.65197584,0.02991728,21,512660,军工ETF
20240130,煤炭行业,-1.59,10629.48,-0.7807536,-1.05,0.04403456,-0.82478816,24,515220,煤炭ETF
20240130,石油行业,-2.14,4991.23,-1.1353272,-1.62,-0.40423968,-0.73108752,28,510300,沪深300ETF
20240130,水泥建材,-2.4,22372.47,-1.21841671,-5.26,-0.45548087,-0.76293584,30,510300,沪深300ETF
20240130,商业百货,-3.23,13324.74,-1.51234734,-3.06,-0.9491731,-0.56317424,35,510150,消费ETF
20240130,航天航空,-2.86,31312.04,-1.91620508,-4.96,-0.99470604,-0.92149904,42,512660,军工ETF
20240130,医疗器械,-2.73,735.59,-1.96947744,-2.51,-0.80476848,-1.16470896,43,159929,医药ETF
20240130,医药商业,-3.22,970.04,-2.02987145,-8.18,-0.92635609,-1.10351536,44,159929,医药ETF
20240130,食品饮料,-3.13,21092.33,-2.8350352,-2.78,-1.08260864,-1.75242656,50,510150,消费ETF
20240130,旅游酒店,-2.52,13186.79,-2.93456352,-4.48,-1.13947776,-1.79508576,51,510150,消费ETF
20240130,有色金属,-3.02,12367.72,-2.94707312,-4.19,-1.4042344,-1.54283872,52,512400,有色ETF
20240130,医疗服务,-2.57,956.04,-3.54144032,-3.42,-1.87130512,-1.6701352,54,510660,创新药ETF
20240130,小金属,-3.73,1327.42,-3.81166576,-8.58,-1.63479568,-2.17687008,55,512400,有色ETF
20240130,生物制品,-3.13,749.21,-3.88437456,-5.2,-2.3774384,-1.50693616,56,510660,创新药ETF
20240130,能源金属,-2.74,404.08,-3.91844254,-9.87,-1.5757331,-2.34270944,57,512400,有色ETF
20240130,汽车零部件,-2.61,26288.35,-4.04373104,-2.55,-0.48078,-3.56295104,58,515030,新能源车ETF
20240130,电网设备,-3.25,18691.83,-4.63095664,-4.21,-2.32705088,-2.30390576,63,561380,电网设备ETF
20240130,中药,-3.17,1367.91,-4.93643888,-5.65,-1.81291216,-3.12352672,64,159929,医药ETF
20240130,化学制药,-3.33,24440.71,-6.24352384,-5.25,-2.05423824,-4.1892856,70,159929,医药ETF
20240130,工程建设,-2.8,18899.09,-6.63054528,-3.51,-4.09500864,-2.53553664,72,510300,沪深300ETF
20240130,游戏,-4.42,929.69,-7.7729896,-9.07,-4.38818832,-3.38480128,73,159869,游戏ETF
20240130,电池,-2.83,778.7,-7.86830352,-6.59,-2.6936752,-5.17462832,74,516160,新能源ETF
20240130,证券,-1.44,114912.89,-7.94134928,-3.67,-2.08840336,-5.85294592,75,512880,证券ETF
20240130,银行,-1.35,2897.77,-8.3382856,-4.01,-4.50979792,-3.82848768,76,512800,银行ETF
20240130,文化传媒,-3.31,8016.76,-9.22340752,-5.46,-3.72239376,-5.50101376,78,512980,传媒ETF
20240130,汽车整车,-2.27,1134.84,-9.88657296,-9.49,-5.758988,-4.12758496,80,515030,新能源车ETF
20240130,软件开发,-3.05,698.51,-10.22356288,-4.09,-6.16695872,-4.05660416,81,515230,软件ETF
20240130,通信设备,-3.48,9044.3,-11.93197248,-6.15,-6.74294864,-5.18902384,82,515880,通信ETF
20240130,光伏设备,-2.93,1139.85,-12.2370296,-5.61,-6.48123056,-5.75579904,83,516290,光伏ETF
20240130,酿酒行业,-4.03,48480.67,-12.35917408,-7.87,-5.98966288,-6.3695112,84,512690,白酒ETF
20240130,互联网服务,-3.03,16340.78,-12.71046144,-5.95,-4.07128432,-8.63917712,85,515230,软件ETF
20240130,半导体,-4.07,920.02,-18.23804448,-7.0,-7.90303776,-10.33500672,86,512480,半导体ETF
