date,open,close,high,low,volume
2023-01-03,44.52,43.78,44.62,43.15,368211.53
2023-01-04,43.74,43.8,43.97,43.24,179014.05
2023-01-05,44.07,44.03,44.18,43.28,343076.35
2023-01-06,43.89,43.83,44.38,43.54,217644.44
2023-01-09,43.92,44.94,45.3,43.47,410358.03
2023-01-10,44.85,44.57,45.06,44.11,247948.42
2023-01-11,44.66,44.7,45.02,44.15,228627.52
2023-01-12,44.76,44.53,45.09,44.44,197696.02
2023-01-13,44.59,45.59,46.0,44.48,424871.03
2023-01-16,45.96,46.14,46.38,45.32,353316.3
2023-01-17,46.19,45.62,46.3,45.3,264260.7
2023-01-18,45.61,44.81,45.61,44.75,235841.17
2023-01-19,44.81,44.29,44.81,43.98,276709.31
2023-01-20,44.46,44.39,44.62,44.22,196194.06
2023-01-30,44.58,44.44,45.1,44.12,447145.14
2023-01-31,45.43,46.09,47.43,45.43,772879.99
2023-02-01,46.15,46.61,46.96,46.15,394576.11
2023-02-02,46.74,46.62,46.88,45.96,309063.48
2023-02-03,46.43,46.26,47.34,46.14,391895.5
2023-02-06,45.78,46.42,46.42,45.42,294212.59
2023-02-07,46.47,45.82,46.77,45.68,289552.14
2023-02-08,45.82,45.46,45.95,45.43,160861.54
2023-02-09,45.46,45.6,45.74,45.3,189226.45
2023-02-10,45.56,45.29,45.89,45.13,239780.65
2023-02-13,45.58,45.4,45.79,45.02,286579.13
2023-02-14,45.67,45.79,46.28,45.41,337426.4
2023-02-15,45.63,44.84,45.67,44.71,357674.8
2023-02-16,44.81,44.36,45.24,43.97,326026.79
2023-02-17,44.39,44.23,44.59,44.21,193970.02
2023-02-20,44.46,45.0,45.06,44.0,274199.78
2023-02-21,44.94,45.6,45.99,44.7,358010.29
2023-02-22,45.59,46.98,47.29,45.56,764868.96
2023-02-23,46.96,46.5,47.48,46.31,339531.51
2023-02-24,46.5,45.95,46.61,45.84,217165.96
2023-02-27,46.14,45.51,46.43,45.37,216791.01
2023-02-28,45.69,45.72,45.87,45.41,236011.71
2023-03-01,45.73,46.31,46.34,45.64,269836.73
2023-03-02,46.25,46.08,46.34,45.91,161062.56
2023-03-03,46.08,45.92,46.24,45.55,198183.84
2023-03-06,45.63,45.77,46.03,45.42,212620.33
2023-03-07,45.67,44.7,45.69,44.65,272715.63
2023-03-08,44.63,44.34,44.64,44.08,218984.99
2023-03-09,44.58,44.18,44.7,44.02,235268.46
2023-03-10,44.12,43.34,44.12,43.25,283472.76
2023-03-13,43.2,44.22,44.39,43.12,256871.45
2023-03-14,44.29,46.51,46.59,44.29,920000.18
2023-03-15,46.61,46.51,47.42,46.28,483225.36
2023-03-16,46.51,44.79,46.51,44.77,349724.1
2023-03-17,45.26,44.26,45.34,44.0,422645.59
2023-03-20,44.26,43.62,44.34,43.49,325270.78
2023-03-21,43.62,43.88,43.95,43.46,234622.59
2023-03-22,44.02,43.85,44.26,43.65,206221.85
2023-03-23,43.61,43.81,44.04,43.54,212061.04
2023-03-24,43.88,43.83,44.13,43.6,184801.9
2023-03-27,43.82,44.75,44.82,43.54,370386.7
2023-03-28,44.65,44.7,45.18,44.34,243011.78
2023-03-29,44.76,43.99,44.89,43.89,203539.17
2023-03-30,44.02,44.41,44.62,43.84,198387.78
2023-03-31,45.88,45.22,46.49,44.99,620921.93
2023-04-03,44.95,46.03,46.61,44.76,529704.36
2023-04-04,46.03,46.75,47.62,45.96,617794.41
2023-04-06,46.5,46.31,47.68,45.94,381086.51
2023-04-07,46.14,45.62,46.56,45.57,229775.09
2023-04-10,45.62,45.57,46.09,45.26,206939.87
2023-04-11,45.64,45.31,45.74,45.06,247552.59
2023-04-12,45.36,44.89,45.46,44.66,236095.21
2023-04-13,44.72,44.71,45.07,44.51,187999.59
2023-04-14,44.92,44.54,44.94,44.3,207179.72
2023-04-17,44.55,44.93,44.93,44.32,245184.48
2023-04-18,44.92,44.74,45.13,44.56,248741.76
2023-04-19,44.73,44.54,45.04,44.37,292741.99
2023-04-20,44.54,44.48,44.8,44.08,223476.63
2023-04-21,44.58,44.09,44.66,44.03,225718.22
2023-04-24,44.09,43.67,44.19,43.39,251181.65
2023-04-25,43.56,44.06,44.06,43.47,190942.31
2023-04-26,44.01,43.84,44.13,43.65,160888.97
2023-04-27,43.79,43.99,44.0,43.5,145722.29
2023-04-28,44.76,44.18,44.85,43.94,225878.94
2023-05-04,44.05,43.46,44.05,43.35,233577.77
2023-05-05,43.42,43.51,43.61,42.67,263551.4
2023-05-08,43.47,43.01,43.47,42.97,193842.94
2023-05-09,42.99,43.29,43.54,42.64,175138.38
2023-05-10,43.28,42.91,43.28,42.69,119829.84
2023-05-11,42.91,43.24,43.28,42.73,100891.69
2023-05-12,43.19,43.11,43.61,43.03,113860.94
2023-05-15,42.93,42.63,43.01,42.3,214474.15
2023-05-16,42.64,42.5,42.87,42.46,116953.54
2023-05-17,42.45,42.26,42.64,42.26,144757.12
2023-05-18,42.26,39.68,42.31,39.58,659114.45
2023-05-19,39.19,39.44,39.53,38.67,302595.32
2023-05-22,39.35,39.72,39.8,39.18,213065.98
2023-05-23,39.79,39.68,39.96,39.57,200174.95
2023-05-24,39.61,39.85,40.07,39.06,179761.83
2023-05-25,39.68,39.54,39.85,39.23,130608.58
2023-05-26,39.64,39.52,39.66,39.23,85385.36
2023-05-29,39.45,38.52,39.68,37.84,302646.95
2023-05-30,38.52,38.58,38.9,37.9,164273.36
2023-05-31,38.45,36.96,38.45,36.29,497167.34
2023-06-01,36.76,37.25,37.92,36.56,309980.59
2023-06-02,37.25,37.62,37.83,37.21,162927.94
2023-06-05,37.65,37.27,37.71,36.83,156138.3
2023-06-06,37.26,37.14,37.52,37.01,134691.16
2023-06-07,37.22,36.89,37.32,36.82,118547.13
2023-06-08,36.84,37.57,38.02,36.68,288908.84
2023-06-09,37.55,37.64,37.76,37.04,203026.14
2023-06-12,37.61,37.64,37.93,37.35,136326.32
2023-06-13,37.57,37.62,38.07,37.47,126671.29
2023-06-14,37.62,37.53,37.88,37.47,113526.5
2023-06-15,37.55,38.07,38.09,37.54,204854.5
2023-06-16,38.12,39.16,39.29,38.12,306794.77
2023-06-19,39.08,39.16,39.98,38.82,259078.33
