date,ts_code,industry_name,lead_stock,close_price,pct_change,industry_index,company_num,pct_change_stock,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20260304,885641.TI,风电,通光线缆,17.88,0.97,1447.51,418,20.0,1059.0,991.0,67.0,516160,新能源ETF
20260304,885700.TI,军工,通光线缆,17.88,0.41,2623.27,598,20.0,1230.0,1174.0,56.0,512660,军工ETF
20260304,885426.TI,海工装备,通光线缆,17.88,0.32,4128.85,263,20.0,766.0,716.0,50.0,159638,高端装备ETF
20260304,885427.TI,高端装备,双杰电气,16.88,-0.21,3670.66,356,11.35,759.0,715.0,44.0,159638,高端装备ETF
20260304,885733.TI,航运概念,招商南油,5.22,-3.62,1914.08,84,5.03,252.0,209.0,43.0,510300,沪深300ETF
20260304,885936.TI,绿色电力,新特电气,27.55,0.22,1290.06,374,15.85,752.0,716.0,35.0,516160,新能源ETF
20260304,885743.TI,军民融合,通光线缆,17.88,0.79,1848.8,245,20.0,486.0,450.0,35.0,512660,军工ETF
20260304,885311.TI,智能电网,通光线缆,17.88,2.04,4255.45,266,20.0,654.0,619.0,35.0,561380,电网设备ETF
20260304,885921.TI,储能,迦南智能,23.22,0.2,2645.91,811,20.0,1622.0,1587.0,34.0,516160,新能源ETF
20260304,885425.TI,特高压,通光线缆,17.88,2.36,5355.23,121,20.0,446.0,416.0,29.0,561380,电网设备ETF
20260304,886004.TI,虚拟电厂,迦南智能,23.22,1.34,1766.53,140,20.0,356.0,328.0,28.0,561380,电网设备ETF
20260304,885566.TI,大飞机,通光线缆,17.88,0.87,4256.19,151,20.0,359.0,333.0,26.0,512660,军工ETF
20260304,885914.TI,煤炭概念,美丽生态,4.42,-1.2,2559.79,85,9.95,332.0,308.0,23.0,515220,煤炭ETF
20260304,885461.TI,充电桩,迦南智能,23.22,0.56,6858.55,386,20.0,773.0,751.0,21.0,516160,新能源ETF
20260304,885884.TI,航空发动机,航天环宇,66.53,0.87,3729.13,98,9.33,247.0,228.0,18.0,512660,军工ETF
20260304,885819.TI,电力物联网,迦南智能,23.22,2.24,2371.78,83,20.0,143.0,126.0,16.0,561380,电网设备ETF
20260304,886078.TI,商业航天,通光线缆,17.88,0.25,2445.58,469,20.0,1141.0,1127.0,14.0,159206,卫星ETF
20260304,885343.TI,稀土永磁,东方锆业,16.07,0.19,3855.22,63,9.99,258.0,245.0,12.0,512400,有色ETF
20260304,885574.TI,卫星导航,富临运业,16.04,0.14,5036.36,272,10.01,615.0,607.0,8.0,515880,通信ETF
20260304,885531.TI,光伏概念,凌玮科技,49.61,0.3,4608.0,580,20.0,1267.0,1260.0,7.0,516290,光伏ETF
20260304,886076.TI,军工信息化,凡拓数创,32.4,0.42,2057.99,111,7.29,197.0,190.0,7.0,512660,军工ETF
20260304,885930.TI,工业母机,易天股份,48.29,-0.09,2020.84,111,10.35,210.0,204.0,5.0,159638,高端装备ETF
