date,ts_code,industry_name,lead_stock,close,pct_change,company_num,pct_change_stock,close_price,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20260428,881105.TI,煤炭开采加工,华电能源,3006.99,2.85,34,10.03,7.02,60.0,45.0,14.0,515220,煤炭ETF
20260428,881157.TI,证券,广发证券,1450.02,0.94,50,6.03,21.1,135.0,121.0,13.0,512880,证券ETF
20260428,881172.TI,电子化学品,华特气体,77315.2,0.54,40,14.43,208.27,151.0,139.0,12.0,512480,半导体ETF
20260428,881130.TI,计算机设备,智微智能,4331.28,-1.56,83,6.47,88.0,177.0,168.0,9.0,515230,软件ETF
20260428,881115.TI,建筑材料,扬子新材,6116.29,-0.3,74,9.98,5.62,93.0,83.0,9.0,510300,沪深300ETF
20260428,881268.TI,工程机械,浙江鼎力,3441.88,0.44,36,9.99,57.02,41.0,34.0,7.0,159638,高端装备ETF
20260428,881149.TI,公路铁路运输,大秦铁路,1367.05,0.55,32,2.47,5.39,12.0,7.0,5.0,510300,沪深300ETF
20260428,881108.TI,化学原料,华谊集团,3596.14,-0.21,59,9.97,10.81,59.0,55.0,4.0,510300,沪深300ETF
20260428,881165.TI,综合,综艺股份,2605.27,2.11,16,10.06,7.66,31.0,26.0,4.0,510300,沪深300ETF
20260428,881146.TI,燃气,德龙汇能,2014.21,1.93,27,9.99,25.44,27.0,24.0,2.0,561380,电网设备ETF
20260428,881177.TI,互联网电商,行云科技,9033.93,-1.12,19,7.5,14.19,16.0,14.0,1.0,515230,软件ETF
20260428,881264.TI,化学纤维,宝丽迪,4411.13,0.17,29,20.0,67.02,28.0,26.0,1.0,510300,沪深300ETF
20260428,881136.TI,服装家纺,*ST步森,3156.37,-0.48,75,5.02,14.01,26.0,25.0,0.0,510300,沪深300ETF
20260428,881112.TI,钢铁,南钢股份,1803.48,-0.36,44,2.68,5.36,40.0,40.0,0.0,510300,沪深300ETF
20260428,881102.TI,养殖业,天邦食品,2997.66,-0.08,36,4.42,2.6,21.0,22.0,0.0,510150,消费ETF
20260428,881141.TI,中药,汉森制药,3285.55,0.26,68,10.02,7.14,35.0,35.0,0.0,159929,医药ETF
20260428,881275.TI,游戏,完美世界,10143.1,0.26,24,4.85,17.07,58.0,58.0,0.0,159869,游戏ETF
20260428,881174.TI,厨卫电器,亿田智能,6674.9,0.42,9,7.09,32.78,3.0,3.0,0.0,510150,消费ETF
20260428,881178.TI,教育,*ST传智,4469.9,-2.19,16,1.09,6.5,5.0,7.0,-1.0,510300,沪深300ETF
