date,ts_code,industry_name,lead_stock,close,pct_change,company_num,pct_change_stock,close_price,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20260514,881275.TI,游戏,名臣健康,10232.1,-2.96,24,3.82,26.39,44.0,75.0,-30.0,159869,游戏ETF
20260514,881168.TI,工业金属,金田股份,4923.1,-2.12,56,5.05,13.3,148.0,179.0,-30.0,512400,有色ETF
20260514,881172.TI,电子化学品,中船特气,89353.0,-0.35,40,20.0,141.12,154.0,184.0,-30.0,512480,半导体ETF
20260514,881279.TI,光伏设备,帝尔激光,10016.0,-0.24,73,13.07,142.9,238.0,271.0,-32.0,516290,光伏ETF
20260514,881169.TI,贵金属,四川黄金,5939.79,-3.34,13,-0.94,56.89,60.0,94.0,-33.0,512400,有色ETF
20260514,881162.TI,通信服务,线上线下,3416.67,-2.51,45,11.97,149.81,147.0,180.0,-33.0,515880,通信ETF
20260514,881140.TI,化学制药,昂利康,6628.45,-1.71,159,9.99,40.07,104.0,143.0,-38.0,159929,医药ETF
20260514,881117.TI,通用设备,集智股份,10347.7,-1.75,250,12.12,64.78,266.0,306.0,-40.0,159638,高端装备ETF
20260514,881124.TI,消费电子,可川科技,13978.3,-1.36,95,10.0,115.38,416.0,457.0,-40.0,512480,半导体ETF
20260514,881116.TI,建筑装饰,*ST东易,4772.24,-1.72,146,5.03,13.57,94.0,141.0,-46.0,510300,沪深300ETF
20260514,881126.TI,汽车零部件,瑞玛精密,7066.45,-2.14,268,10.01,36.37,211.0,260.0,-48.0,515030,新能源车ETF
20260514,881130.TI,计算机设备,盛视科技,4638.91,-2.25,83,10.0,69.41,206.0,258.0,-51.0,515230,软件ETF
20260514,881164.TI,文化传媒,旗天科技,2942.42,-3.33,85,3.01,10.27,76.0,132.0,-55.0,512980,传媒ETF
20260514,881170.TI,小金属,国城矿业,9801.01,-4.42,29,0.82,41.61,157.0,214.0,-56.0,512400,有色ETF
20260514,881157.TI,证券,华安证券,1468.1,-2.11,50,0.17,5.87,84.0,144.0,-59.0,512880,证券ETF
20260514,881272.TI,软件开发,思特奇,2165.21,-2.99,139,8.77,15.26,124.0,195.0,-71.0,515230,软件ETF
20260514,881121.TI,半导体,晶升股份,17297.9,-0.7,179,20.0,68.65,1389.0,1461.0,-71.0,512480,半导体ETF
20260514,881166.TI,军工装备,华秦科技,2624.02,-3.24,83,20.0,94.9,168.0,254.0,-85.0,512660,军工ETF
20260514,881271.TI,IT服务,慧辰股份,14375.5,-3.26,130,12.64,55.26,205.0,295.0,-89.0,515230,软件ETF
20260514,881278.TI,电网设备,华盛昌,7981.03,-3.65,139,10.01,94.67,208.0,304.0,-95.0,561380,电网设备ETF
20260514,881281.TI,电池,博力威,23075.7,-3.37,105,9.43,57.22,343.0,448.0,-105.0,516160,新能源ETF
20260514,881145.TI,电力,京能电力,2269.33,-2.56,109,10.02,6.37,320.0,438.0,-117.0,561380,电网设备ETF
