date,ts_code,industry_name,lead_stock,close,pct_change,company_num,pct_change_stock,close_price,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20250106,881155.TI,银行,宁波银行,1164.97,0.8,84,3.04,24.4,110.0,95.0,15.0,512800,银行ETF
20250106,881141.TI,中药,大唐药业,3263.13,3.47,72,18.94,7.16,58.0,46.0,12.0,159929,医药ETF
20250106,881279.TI,光伏设备,艾罗能源,6205.56,0.89,70,9.18,50.45,50.0,42.0,7.0,516290,光伏ETF
20250106,881112.TI,钢铁,马钢股份,1280.32,1.18,46,10.18,3.14,24.0,20.0,4.0,510300,沪深300ETF
20250106,881144.TI,医疗器械,爱朋医疗,9095.49,1.23,130,8.41,18.3,33.0,29.0,3.0,159929,医药ETF
20250106,881180.TI,石油加工贸易,康普顿,2736.12,-0.6,28,4.86,9.28,15.0,13.0,2.0,510300,沪深300ETF
20250106,881114.TI,金属新材料,银河磁体,8498.95,0.36,30,8.33,27.3,26.0,23.0,2.0,512400,有色ETF
20250106,881168.TI,工业金属,永茂泰,2445.07,1.36,58,9.96,8.94,61.0,59.0,2.0,512400,有色ETF
20250106,881156.TI,保险,中国太保,2008.67,-1.69,6,0.19,31.71,18.0,16.0,1.0,512800,银行ETF
20250106,881143.TI,医药商业,药易购,4186.71,2.68,31,7.97,25.59,12.0,10.0,1.0,159929,医药ETF
20250106,881177.TI,互联网电商,南极电商,6218.53,-2.57,20,5.56,4.75,16.0,15.0,0.0,515230,软件ETF
20250106,881133.TI,饮料制造,新乳业,4176.07,-2.12,45,5.03,15.86,16.0,16.0,0.0,512690,白酒ETF
20250106,881137.TI,造纸,华泰股份,1712.23,-1.51,23,1.74,3.5,6.0,7.0,0.0,510300,沪深300ETF
20250106,881159.TI,贸易,江苏国泰,2124.67,-1.47,15,1.7,7.19,2.0,3.0,0.0,510300,沪深300ETF
20250106,881138.TI,包装印刷,*ST金时,3059.77,-1.01,47,5.03,6.89,12.0,13.0,0.0,510300,沪深300ETF
20250106,881136.TI,服装家纺,梦洁股份,2139.91,-0.96,76,5.92,3.76,27.0,28.0,0.0,510300,沪深300ETF
20250106,881169.TI,贵金属,*ST中润,2221.74,-0.92,12,3.62,3.72,17.0,17.0,0.0,512400,有色ETF
20250106,881172.TI,电子化学品,广钢气体,31408.8,-0.83,40,3.84,10.0,11.0,12.0,0.0,512480,半导体ETF
20250106,881179.TI,其他社会服务,信测标准,14827.4,-0.77,68,6.7,27.25,5.0,6.0,0.0,510300,沪深300ETF
20250106,881283.TI,多元金融,中油资本,911.03,-0.77,29,1.38,6.61,13.0,13.0,0.0,512880,证券ETF
20250106,881151.TI,机场航运,海航控股,2031.06,-0.72,13,0.63,1.6,11.0,11.0,0.0,510300,沪深300ETF
20250106,881165.TI,综合,*ST恒立,1936.19,-0.7,24,4.97,2.11,12.0,12.0,0.0,510300,沪深300ETF
20250106,881135.TI,纺织制造,航民股份,1666.99,-0.51,30,1.75,6.98,3.0,4.0,0.0,510300,沪深300ETF
20250106,881116.TI,建筑装饰,华电科工,3089.99,-0.47,151,10.0,7.48,41.0,42.0,0.0,510300,沪深300ETF
20250106,881182.TI,美容护理,依依股份,4146.73,-0.38,33,8.43,18.79,8.0,8.0,0.0,510150,消费ETF
20250106,881264.TI,化学纤维,蒙泰高新,2762.91,-0.3,24,3.41,26.06,7.0,8.0,0.0,510300,沪深300ETF
20250106,881149.TI,公路铁路运输,宁沪高速,1331.59,-0.28,31,1.67,15.2,12.0,12.0,0.0,510300,沪深300ETF
20250106,881148.TI,港口航运,厦门港务,957.22,-0.04,37,4.68,7.15,16.0,16.0,0.0,510300,沪深300ETF
