date,ts_code,industry_name,lead_stock,close,pct_change,company_num,pct_change_stock,close_price,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20251120,881155.TI,银行,中国银行,1362.16,1.15,84,4.0,6.24,194.0,141.0,52.0,512800,银行ETF
20251120,881162.TI,通信服务,宜通世纪,2902.92,0.12,45,5.99,6.37,57.0,50.0,7.0,515880,通信ETF
20251120,881115.TI,建筑材料,国统股份,5600.54,0.68,72,10.03,17.22,44.0,36.0,7.0,510300,沪深300ETF
20251120,881170.TI,小金属,广晟有色,6482.44,0.46,26,6.46,56.9,84.0,77.0,6.0,512400,有色ETF
20251120,881146.TI,燃气,大众公用,1804.77,-0.19,28,9.97,7.39,27.0,23.0,4.0,561380,电网设备ETF
20251120,881273.TI,白酒,迎驾贡酒,3020.15,-0.24,20,1.64,42.9,38.0,36.0,2.0,512690,白酒ETF
20251120,881131.TI,白色家电,春光科技,8206.8,0.03,42,10.01,32.21,62.0,59.0,2.0,510150,消费ETF
20251120,881268.TI,工程机械,建设机械,3289.18,0.06,36,4.41,4.26,20.0,17.0,2.0,159638,高端装备ETF
20251120,881165.TI,综合,亚泰集团,2537.43,0.58,19,10.1,2.18,46.0,44.0,1.0,510300,沪深300ETF
20251120,881152.TI,物流,*ST原尚,5877.58,-0.46,49,5.0,40.28,20.0,21.0,0.0,510300,沪深300ETF
20251120,881173.TI,小家电,ST德豪,4860.18,-0.39,25,1.78,2.86,6.0,6.0,0.0,510150,消费ETF
20251120,881159.TI,贸易,厦门信达,3113.49,-0.24,15,1.7,6.6,4.0,5.0,0.0,510300,沪深300ETF
20251120,881156.TI,保险,中国人保,2245.16,-0.2,5,0.46,8.83,20.0,19.0,0.0,512800,银行ETF
20251120,881149.TI,公路铁路运输,山东高速,1458.19,0.07,32,1.06,9.53,11.0,11.0,0.0,510300,沪深300ETF
20251120,881132.TI,黑色家电,辰奕智能,4160.47,0.17,9,2.31,37.16,4.0,5.0,-1.0,510150,消费ETF
20251120,881174.TI,厨卫电器,奥普科技,7228.74,-1.19,9,2.48,11.98,4.0,6.0,-2.0,510150,消费ETF
20251120,881151.TI,机场航运,海南机场,2377.3,-0.65,13,2.0,5.09,13.0,16.0,-2.0,510300,沪深300ETF
20251120,881179.TI,其他社会服务,兰生股份,20257.0,-0.22,72,10.01,11.76,11.0,14.0,-2.0,510300,沪深300ETF
20251120,881267.TI,能源金属,威领股份,31849.8,0.87,13,6.94,16.49,153.0,155.0,-2.0,512400,有色ETF
20251120,881178.TI,教育,博瑞传播,4903.37,-2.04,17,-0.2,5.1,5.0,9.0,-3.0,510300,沪深300ETF
20251120,881169.TI,贵金属,湖南黄金,4007.03,-1.66,11,0.22,22.48,24.0,28.0,-3.0,512400,有色ETF
20251120,881264.TI,化学纤维,南京化纤,3830.38,-1.54,28,1.48,15.05,9.0,12.0,-3.0,510300,沪深300ETF
