date,ts_code,industry_name,lead_stock,close,pct_change,company_num,pct_change_stock,close_price,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20260211,881168.TI,工业金属,国城矿业,4959.48,1.55,58,9.07,31.01,215.0,167.0,47.0,512400,有色ETF
20260211,881170.TI,小金属,东方钽业,9444.97,3.64,27,10.0,44.54,221.0,173.0,47.0,512400,有色ETF
20260211,881281.TI,电池,格林美,20502.6,0.72,103,9.95,9.5,225.0,188.0,36.0,516160,新能源ETF
20260211,881109.TI,化学制品,醋化股份,8098.68,0.49,175,10.04,15.68,156.0,132.0,24.0,510300,沪深300ETF
20260211,881112.TI,钢铁,宝地矿业,1948.35,1.56,43,9.97,8.71,65.0,45.0,20.0,510300,沪深300ETF
20260211,881267.TI,能源金属,腾远钴业,32888.4,3.44,13,5.47,70.17,62.0,42.0,19.0,512400,有色ETF
20260211,881108.TI,化学原料,新金路,3709.77,1.29,60,10.01,16.48,69.0,57.0,11.0,510300,沪深300ETF
20260211,881169.TI,贵金属,山东黄金,6581.35,1.96,11,4.76,47.35,82.0,71.0,11.0,512400,有色ETF
20260211,881264.TI,化学纤维,泰和新材,4404.43,2.05,29,10.0,13.64,31.0,21.0,10.0,510300,沪深300ETF
20260211,881105.TI,煤炭开采加工,山西焦化,2777.71,1.03,33,7.85,4.81,48.0,39.0,9.0,515220,煤炭ETF
20260211,881271.TI,IT服务,大位科技,15406.7,-0.34,127,10.04,12.6,231.0,224.0,7.0,515230,软件ETF
20260211,881180.TI,石油加工贸易,恒力石化,4086.06,0.73,28,4.22,25.69,37.0,30.0,7.0,510300,沪深300ETF
20260211,881155.TI,银行,青岛银行,1327.61,0.34,84,2.16,5.68,73.0,67.0,6.0,512800,银行ETF
20260211,881125.TI,汽车整车,江淮汽车,3383.09,0.3,23,3.83,56.7,67.0,62.0,5.0,515030,新能源车ETF
20260211,881114.TI,金属新材料,有研粉材,16038.6,0.93,31,4.34,65.37,36.0,30.0,5.0,512400,有色ETF
20260211,881137.TI,造纸,民士达,2422.05,1.56,24,8.44,58.99,20.0,16.0,4.0,510300,沪深300ETF
20260211,881268.TI,工程机械,拓山重工,3681.53,-0.01,36,3.29,54.39,26.0,24.0,2.0,159638,高端装备ETF
20260211,881148.TI,港口航运,北部湾港,1250.77,0.69,36,5.76,10.46,29.0,26.0,2.0,510300,沪深300ETF
20260211,881149.TI,公路铁路运输,富临运业,1458.25,0.05,32,2.06,14.85,11.0,9.0,1.0,510300,沪深300ETF
20260211,881172.TI,电子化学品,德邦科技,61616.1,1.22,42,19.99,61.82,69.0,67.0,1.0,512480,半导体ETF
20260211,881173.TI,小家电,富佳股份,4920.01,-0.66,25,1.51,18.78,5.0,6.0,0.0,510150,消费ETF
20260211,881174.TI,厨卫电器,奥普科技,7183.8,-0.64,9,1.15,12.37,1.0,2.0,0.0,510150,消费ETF
20260211,881159.TI,贸易,中信金属,3317.09,-0.13,15,3.95,14.49,5.0,5.0,0.0,510300,沪深300ETF
20260211,881146.TI,燃气,ST金鸿,1908.68,-0.07,28,4.95,3.39,7.0,8.0,0.0,561380,电网设备ETF
20260211,881103.TI,农产品加工,*ST万方,4424.15,0.12,43,5.26,2.0,12.0,12.0,0.0,510150,消费ETF
20260211,881152.TI,物流,ST雪发,6051.54,0.13,50,4.99,5.05,14.0,15.0,0.0,510300,沪深300ETF
20260211,881181.TI,环境治理,ST京蓝,4482.26,0.33,111,5.17,2.85,43.0,43.0,0.0,516160,新能源ETF
20260211,881182.TI,美容护理,锦盛新材,6067.04,0.47,32,10.47,22.69,14.0,14.0,0.0,510150,消费ETF
20260211,881165.TI,综合,粤桂股份,2704.4,-0.43,17,5.15,20.42,30.0,32.0,-1.0,510300,沪深300ETF
20260211,881179.TI,其他社会服务,国义招标,22175.9,-0.33,76,5.54,12.2,11.0,13.0,-1.0,510300,沪深300ETF
20260211,881135.TI,纺织制造,聚杰微纤,2689.45,0.5,32,20.0,52.56,15.0,17.0,-1.0,510300,沪深300ETF
20260211,881136.TI,服装家纺,天创时尚,3324.36,-0.65,76,10.05,11.5,22.0,25.0,-2.0,510300,沪深300ETF
20260211,881158.TI,零售,锦和商管,2278.07,-0.63,72,9.96,7.73,65.0,68.0,-2.0,510150,消费ETF
20260211,881102.TI,养殖业,*ST绿康,3221.97,-0.42,38,4.99,37.64,17.0,20.0,-2.0,510150,消费ETF
20260211,881143.TI,医药商业,达嘉维康,5419.23,-0.7,32,0.8,12.65,8.0,12.0,-3.0,159929,医药ETF
20260211,881133.TI,饮料制造,三元股份,5455.35,-0.59,46,0.56,5.4,13.0,16.0,-3.0,512690,白酒ETF
20260211,881283.TI,多元金融,翠微股份,1293.07,-0.47,26,4.75,13.9,21.0,25.0,-3.0,512880,证券ETF
20260211,881132.TI,黑色家电,极米科技,4608.1,0.6,9,3.33,99.67,28.0,32.0,-3.0,510150,消费ETF
20260211,881177.TI,互联网电商,国联股份,9117.36,-2.02,19,0.22,27.36,9.0,13.0,-4.0,515230,软件ETF
20260211,881175.TI,医疗服务,诚达药业,19491.6,-0.82,54,4.49,39.79,43.0,47.0,-4.0,510660,创新药ETF
20260211,881280.TI,风电设备,中环海陆,5494.48,0.08,31,7.38,39.41,41.0,46.0,-4.0,516160,新能源ETF
20260211,881153.TI,房地产,京投发展,1978.66,0.25,90,7.93,7.21,43.0,48.0,-4.0,510300,沪深300ETF
20260211,881178.TI,教育,*ST国化,5268.4,-2.3,16,0.0,8.92,6.0,12.0,-5.0,510300,沪深300ETF
20260211,881162.TI,通信服务,南凌科技,3204.45,-0.52,45,6.29,33.95,103.0,109.0,-5.0,515880,通信ETF
20260211,881151.TI,机场航运,中信海直,2447.09,-0.91,13,1.08,20.51,15.0,21.0,-6.0,510300,沪深300ETF
20260211,881142.TI,生物制品,特宝生物,6648.9,-0.58,55,6.01,73.0,16.0,23.0,-6.0,510660,创新药ETF
20260211,881277.TI,电机,华新精科,3929.69,-0.52,25,2.94,51.44,13.0,19.0,-6.0,561380,电网设备ETF
20260211,881138.TI,包装印刷,珠海中富,5167.69,-0.36,47,10.0,4.84,33.0,40.0,-6.0,510300,沪深300ETF
20260211,881141.TI,中药,ST百灵,3528.55,-0.28,69,5.12,4.52,25.0,32.0,-6.0,159929,医药ETF
20260211,881144.TI,医疗器械,振德医疗,12594.3,-0.56,138,5.87,93.97,33.0,40.0,-7.0,159929,医药ETF
20260211,881123.TI,其他电子,润欣科技,19472.4,-0.4,34,2.77,21.18,37.0,44.0,-7.0,512480,半导体ETF
20260211,881273.TI,白酒,*ST岩石,2716.53,-0.11,20,4.95,2.12,41.0,48.0,-7.0,512690,白酒ETF
20260211,881140.TI,化学制药,科源制药,6825.98,-0.46,157,5.79,37.07,84.0,92.0,-8.0,159929,医药ETF
20260211,881272.TI,软件开发,绿盟科技,2515.51,-0.06,138,10.22,9.81,182.0,191.0,-8.0,515230,软件ETF
20260211,881157.TI,证券,中银证券,1618.46,-0.03,50,2.01,14.2,69.0,79.0,-10.0,512880,证券ETF
20260211,881156.TI,保险,中国人保,2556.5,-0.95,5,-0.55,9.12,23.0,34.0,-11.0,512800,银行ETF
20260211,881275.TI,游戏,名臣健康,12147.1,-0.58,24,6.47,27.3,98.0,111.0,-12.0,159869,游戏ETF
20260211,881145.TI,电力,豫能控股,1907.26,0.21,105,10.07,7.54,81.0,95.0,-13.0,561380,电网设备ETF
20260211,881116.TI,建筑装饰,雅博股份,4706.69,-0.04,151,10.19,2.38,81.0,95.0,-14.0,510300,沪深300ETF
20260211,881130.TI,计算机设备,视声智能,4489.72,-0.58,81,3.48,30.04,50.0,65.0,-15.0,515230,软件ETF
20260211,881131.TI,白色家电,万朗磁塑,8779.95,-0.39,43,6.83,61.75,39.0,56.0,-16.0,510150,消费ETF
20260211,881115.TI,建筑材料,国际复材,6568.39,1.22,73,20.04,11.8,82.0,99.0,-16.0,510300,沪深300ETF
20260211,881171.TI,自动化设备,易思维,29090.4,-0.57,92,58.93,88.92,88.0,107.0,-18.0,562500,机器人ETF
20260211,881126.TI,汽车零部件,菱电电控,7329.02,-0.61,263,11.57,94.02,174.0,196.0,-22.0,515030,新能源车ETF
20260211,881122.TI,光学光电子,小崧股份,5386.86,-0.53,108,10.04,11.62,93.0,118.0,-24.0,512480,半导体ETF
20260211,881166.TI,军工装备,捷强装备,2737.53,-1.06,82,6.08,44.51,200.0,226.0,-25.0,512660,军工ETF
20260211,881278.TI,电网设备,华明装备,7167.99,-0.59,139,10.0,34.75,114.0,140.0,-25.0,561380,电网设备ETF
20260211,881118.TI,专用设备,南兴股份,8451.7,-0.04,196,10.01,24.52,106.0,132.0,-25.0,159638,高端装备ETF
20260211,881279.TI,光伏设备,永臻股份,10081.5,-0.81,76,9.97,29.89,232.0,265.0,-32.0,516290,光伏ETF
20260211,881117.TI,通用设备,思看科技,9922.73,-0.5,249,10.08,171.17,194.0,226.0,-32.0,159638,高端装备ETF
20260211,881124.TI,消费电子,利通电子,12357.1,-0.3,98,9.99,57.12,139.0,177.0,-37.0,512480,半导体ETF
20260211,881121.TI,半导体,富满微,13773.9,-0.73,172,7.5,50.71,418.0,461.0,-43.0,512480,半导体ETF
20260211,881129.TI,通信设备,特发信息,8990.17,-1.06,89,9.99,17.73,425.0,497.0,-71.0,515880,通信ETF
20260211,881164.TI,文化传媒,读客文化,3458.96,-3.07,84,10.14,15.31,235.0,318.0,-82.0,512980,传媒ETF
