date,ts_code,industry_name,lead_stock,close,pct_change,company_num,pct_change_stock,close_price,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20251204,881121.TI,半导体,宏微科技,11478.3,0.57,167,9.55,28.0,474.0,410.0,63.0,512480,半导体ETF
20251204,881131.TI,白色家电,和而泰,8250.26,-0.09,43,10.01,53.42,134.0,87.0,47.0,510150,消费ETF
20251204,881129.TI,通信设备,天孚通信,7290.75,-0.54,88,7.88,187.12,355.0,339.0,15.0,515880,通信ETF
20251204,881171.TI,自动化设备,固高科技,24092.5,0.52,91,19.99,40.58,77.0,66.0,10.0,562500,机器人ETF
20251204,881157.TI,证券,长城证券,1585.68,0.29,50,3.54,10.24,69.0,61.0,8.0,512880,证券ETF
20251204,881277.TI,电机,三协电机,3534.7,1.71,25,17.59,68.07,42.0,34.0,8.0,561380,电网设备ETF
20251204,881126.TI,汽车零部件,晋拓股份,6578.97,-0.11,260,6.67,18.24,176.0,170.0,6.0,515030,新能源车ETF
20251204,881268.TI,工程机械,华东重机,3351.35,0.09,36,5.74,8.29,34.0,29.0,4.0,159638,高端装备ETF
20251204,881267.TI,能源金属,华友钴业,27673.7,-0.13,13,3.71,63.68,47.0,44.0,2.0,512400,有色ETF
20251204,881166.TI,军工装备,航天环宇,2296.46,0.13,81,10.21,42.51,149.0,146.0,2.0,512660,军工ETF
20251204,881146.TI,燃气,大众公用,1758.94,-1.04,28,10.04,8.22,22.0,20.0,1.0,561380,电网设备ETF
20251204,881174.TI,厨卫电器,亿田智能,6924.14,-1.05,9,1.58,33.98,1.0,2.0,0.0,510150,消费ETF
20251204,881173.TI,小家电,九阳股份,4839.1,-0.88,25,2.9,10.98,7.0,8.0,0.0,510150,消费ETF
20251204,881168.TI,工业金属,电工合金,3996.48,-0.6,58,6.65,17.0,178.0,178.0,0.0,512400,有色ETF
20251204,881130.TI,计算机设备,达华智能,4169.54,-0.56,81,10.09,6.33,70.0,70.0,0.0,515230,软件ETF
20251204,881140.TI,化学制药,益方生物,6776.56,-0.4,158,4.63,28.24,83.0,82.0,0.0,159929,医药ETF
20251204,881156.TI,保险,中国人寿,2169.6,0.37,5,0.79,43.4,10.0,10.0,0.0,512800,银行ETF
20251204,881132.TI,黑色家电,海信视像,4119.27,-1.5,9,-0.11,26.19,4.0,6.0,-1.0,510150,消费ETF
20251204,881149.TI,公路铁路运输,重庆路桥,1443.7,-1.2,32,2.87,6.46,13.0,15.0,-1.0,510300,沪深300ETF
20251204,881179.TI,其他社会服务,锋尚文化,19911.3,-1.14,72,2.58,28.6,10.0,12.0,-1.0,510300,沪深300ETF
20251204,881178.TI,教育,中国高科,4884.51,-1.1,17,8.25,13.51,8.0,10.0,-1.0,510300,沪深300ETF
20251204,881281.TI,电池,嘉元科技,19383.7,-1.06,102,5.21,36.74,149.0,150.0,-1.0,516160,新能源ETF
20251204,881137.TI,造纸,景兴纸业,2156.77,-0.92,23,1.46,5.55,8.0,10.0,-1.0,510300,沪深300ETF
20251204,881151.TI,机场航运,吉祥航空,2329.34,-0.57,13,1.48,13.72,10.0,11.0,-1.0,510300,沪深300ETF
20251204,881142.TI,生物制品,欧林生物,6636.75,-0.56,55,13.78,27.99,17.0,18.0,-1.0,510660,创新药ETF
20251204,881143.TI,医药商业,瑞康医药,5376.93,-0.06,32,9.94,3.87,40.0,41.0,-1.0,159929,医药ETF
20251204,881280.TI,风电设备,飞沃科技,4850.79,0.59,30,19.59,74.86,29.0,31.0,-1.0,516160,新能源ETF
20251204,881177.TI,互联网电商,国联股份,8138.45,-2.44,19,1.21,30.12,7.0,9.0,-2.0,515230,软件ETF
20251204,881159.TI,贸易,苏美达,3068.67,-1.91,15,0.28,10.68,6.0,9.0,-2.0,510300,沪深300ETF
20251204,881135.TI,纺织制造,聚杰微纤,2374.9,-1.11,32,5.71,29.07,12.0,14.0,-2.0,510300,沪深300ETF
20251204,881144.TI,医疗器械,中红医疗,11802.4,-0.95,133,3.82,15.21,28.0,30.0,-2.0,159929,医药ETF
20251204,881175.TI,医疗服务,ST中珠,16734.8,-0.87,53,4.96,2.96,27.0,29.0,-2.0,510660,创新药ETF
20251204,881264.TI,化学纤维,汇隆新材,3690.41,-1.65,28,0.64,29.97,5.0,8.0,-3.0,510300,沪深300ETF
20251204,881138.TI,包装印刷,新宏泽,4502.48,-1.61,46,2.57,15.54,35.0,38.0,-3.0,510300,沪深300ETF
20251204,881181.TI,环境治理,圣元环保,4103.24,-0.91,112,12.51,24.73,42.0,46.0,-3.0,516160,新能源ETF
20251204,881180.TI,石油加工贸易,恒通股份,3525.45,-0.9,28,8.94,11.45,16.0,20.0,-3.0,510300,沪深300ETF
20251204,881114.TI,金属新材料,合金投资,13363.0,-0.89,31,6.28,9.14,20.0,23.0,-3.0,512400,有色ETF
20251204,881115.TI,建筑材料,四川金顶,5508.93,-0.79,72,10.04,12.16,34.0,38.0,-3.0,510300,沪深300ETF
20251204,881275.TI,游戏,迅游科技,10297.0,-0.65,24,1.73,27.63,24.0,27.0,-3.0,159869,游戏ETF
20251204,881283.TI,多元金融,瑞达期货,1173.0,-0.57,27,5.89,24.28,16.0,19.0,-3.0,512880,证券ETF
20251204,881148.TI,港口航运,凤凰航运,1180.46,-0.04,36,3.7,5.04,20.0,24.0,-3.0,510300,沪深300ETF
20251204,881182.TI,美容护理,豪悦护理,5619.52,-2.02,32,3.24,32.21,7.0,11.0,-4.0,510150,消费ETF
