date,ts_code,industry_name,lead_stock,close_price,pct_change,industry_index,company_num,pct_change_stock,net_buy_amount,net_sell_amount,net_inflow,etf_code,etf_name
20241213,885874.TI,云游戏,佳创视讯,7.98,0.05,1297.7,25,0.05,103.0,105.0,-2.0,159869,游戏ETF
20241213,885497.TI,旅游概念,锋尚文化,36.22,1.65,2747.85,105,1.65,217.0,221.0,-4.0,510150,消费ETF
20241213,885947.TI,DRG/DIP,东华软件,8.27,-2.88,1005.94,21,-2.88,22.0,27.0,-5.0,159929,医药ETF
20241213,885780.TI,啤酒概念,兰州黄河,9.46,-1.63,1562.15,18,-1.63,14.0,20.0,-5.0,512690,白酒ETF
20241213,885603.TI,网络游戏,紫天科技,22.18,1.08,1564.51,65,1.08,245.0,251.0,-6.0,159869,游戏ETF
20241213,886038.TI,超导概念,国缆检测,52.36,-2.38,1373.95,20,-2.38,26.0,34.0,-8.0,561380,电网设备ETF
20241213,886054.TI,光刻机,苏大维格,25.87,-2.25,1188.66,33,-2.25,35.0,45.0,-9.0,588710,科创半导体设备ETF
20241213,885876.TI,网红经济,太湖雪,27.05,0.02,1492.81,98,0.02,270.0,279.0,-9.0,512980,传媒ETF
20241213,886000.TI,一体化压铸,爱柯迪,17.88,-1.99,1049.33,48,-1.99,53.0,67.0,-14.0,515030,新能源车ETF
20241213,886042.TI,存储芯片,普冉股份,123.48,-1.03,1131.66,86,-1.03,245.0,259.0,-14.0,512480,半导体ETF
20241213,885733.TI,航运概念,凤凰航运,6.38,-1.78,1489.12,55,-1.78,53.0,69.0,-15.0,510300,沪深300ETF
20241213,885864.TI,光刻胶,光华科技,24.95,-1.89,2826.14,66,-1.89,63.0,81.0,-17.0,588710,科创半导体设备ETF
20241213,885462.TI,乳业,维维股份,3.98,-3.47,2155.86,33,-3.47,39.0,58.0,-18.0,510150,消费ETF
20241213,885934.TI,元宇宙,锋尚文化,36.22,0.73,1733.49,172,0.73,634.0,652.0,-18.0,159869,游戏ETF
20241213,885927.TI,CRO概念,德展健康,4.62,-2.63,705.09,58,-2.63,41.0,61.0,-20.0,510660,创新药ETF
20241213,885945.TI,汽车芯片,润欣科技,26.71,-0.69,872.07,110,-0.69,312.0,332.0,-20.0,512480,半导体ETF
20241213,886051.TI,减肥药,德展健康,4.62,-2.04,1047.26,47,-2.04,35.0,59.0,-23.0,510660,创新药ETF
20241213,885878.TI,HJT电池,ST聆达,7.61,-2.09,2424.33,56,-2.09,62.0,87.0,-24.0,516290,光伏ETF
20241213,886006.TI,钙钛矿电池,曼恩斯特,52.93,-2.58,777.58,52,-2.58,71.0,100.0,-29.0,516290,光伏ETF
20241213,885819.TI,电力物联网,安靠智电,28.25,-2.32,1727.38,73,-2.32,99.0,129.0,-29.0,561380,电网设备ETF
20241213,885343.TI,稀土永磁,惠城环保,95.5,-2.38,2156.7,59,-2.38,56.0,86.0,-30.0,512400,有色ETF
20241213,885426.TI,海工装备,戈碧迦,20.4,-1.94,2343.64,66,-1.94,64.0,94.0,-30.0,159638,高端装备ETF
20241213,885425.TI,特高压,通达动力,16.3,-1.58,3162.28,104,-1.58,93.0,123.0,-30.0,561380,电网设备ETF
20241213,885999.TI,汽车热管理,冰山冷热,6.8,-1.92,1478.52,106,-1.92,131.0,164.0,-32.0,515030,新能源车ETF
20241213,886037.TI,6G概念,三维通信,10.84,-1.7,1424.18,63,-1.7,141.0,177.0,-36.0,515880,通信ETF
20241213,886004.TI,虚拟电厂,华体科技,16.61,-1.94,1211.18,97,-1.94,80.0,118.0,-37.0,561380,电网设备ETF
20241213,885982.TI,华为欧拉,中科创达,66.18,-2.78,1493.03,43,-2.78,120.0,158.0,-38.0,515230,软件ETF
