date,industry_name,pct_change,close,net_inflow,net_amount_rate,super_large_inflow,large_inflow,rank,etf_code,etf_name
20250418,通信设备,2.6,12567.87,31.53619552,9.99,22.61082208,8.92537344,1,515880,通信ETF
20250418,游戏,0.76,1087.05,2.57305936,4.65,2.09576704,0.47729232,5,159869,游戏ETF
20250418,能源金属,0.81,432.38,2.40626964,6.68,1.14050564,1.265764,6,512400,有色ETF
20250418,工程建设,0.72,21526.93,1.96332272,2.41,2.26171136,-0.29838864,8,510300,沪深300ETF
20250418,家电行业,0.46,19852.92,1.61367104,1.12,0.8429104,0.77076064,9,510150,消费ETF
20250418,证券,0.79,131680.03,1.43559888,0.96,-0.72079856,2.15639744,11,512880,证券ETF
20250418,船舶制造,1.19,841.56,1.3456832,2.62,0.53120128,0.81448192,12,512660,军工ETF
20250418,公用事业,0.12,8007.91,1.01038846,5.19,1.21432158,-0.20393312,16,561380,电网设备ETF
20250418,电池,1.12,881.45,0.99496128,0.86,1.44020688,-0.4452456,17,516160,新能源ETF
20250418,水泥建材,0.26,23547.66,0.75531233,3.13,0.55851745,0.19679488,19,510300,沪深300ETF
20250418,煤炭行业,-0.43,9921.81,0.74526352,2.18,0.0437912,0.70147232,20,515220,煤炭ETF
20250418,医疗服务,-0.01,944.8,0.3857648,0.53,0.37381776,0.01194704,4,510660,创新药ETF
20250418,燃气,0.25,1431.92,0.27906311,1.87,0.09652861,0.1825345,5,561380,电网设备ETF
20250418,风电设备,0.63,1010.97,0.2649118,0.6,0.06483724,0.20007456,6,516160,新能源ETF
20250418,医药商业,-0.38,959.46,0.055583,0.28,-0.1689842,0.2245672,8,159929,医药ETF
20250418,石油行业,-0.1,5193.61,-0.04892,-0.13,-0.61839312,0.56947312,10,510300,沪深300ETF
20250418,有色金属,0.64,15888.71,-0.19747664,-0.13,2.91168624,-3.10916288,14,512400,有色ETF
20250418,化学制药,-0.12,28116.02,-0.39451296,-0.19,0.03740768,-0.43192064,17,159929,医药ETF
20250418,装修装饰,-0.22,510.03,-0.52514249,-1.58,-0.40403065,-0.12111184,2,510300,沪深300ETF
20250418,互联网服务,-0.18,24104.86,-0.74176896,-0.2,1.06579072,-1.80755968,4,515230,软件ETF
20250418,电网设备,0.21,24779.88,-0.9056192,-0.62,-0.25936704,-0.64625216,5,561380,电网设备ETF
20250418,中药,-0.58,1311.48,-1.05734682,-1.68,-0.68260218,-0.37474464,6,159929,医药ETF
20250418,医疗器械,-0.29,778.36,-2.55360992,-3.02,-1.18178704,-1.37182288,19,159929,医药ETF
20250418,生物制品,0.21,852.26,-2.96299536,-2.86,-1.74438208,-1.21861328,1,510660,创新药ETF
20250418,文化传媒,-0.48,9314.97,-3.50052848,-2.37,-2.06128272,-1.43924576,3,512980,传媒ETF
20250418,商业百货,0.01,17783.82,-4.01992176,-1.76,0.6286184,-4.64854016,5,510150,消费ETF
20250418,酿酒行业,-1.1,48990.05,-4.13940704,-4.16,-2.14685136,-1.99255568,6,512690,白酒ETF
20250418,电力行业,-0.9,15974.37,-4.41930288,-2.06,0.29211088,-4.71141376,7,561380,电网设备ETF
20250418,汽车整车,-0.12,1570.08,-5.25937632,-5.63,-3.92094304,-1.33843328,10,515030,新能源车ETF
20250418,光伏设备,-0.47,948.09,-5.37846032,-6.33,-2.12446928,-3.25399104,11,516290,光伏ETF
20250418,银行,0.67,3846.45,-7.46429696,-3.56,-2.19822592,-5.26607104,14,512800,银行ETF
20250418,小金属,-0.67,1897.06,-8.0335904,-7.09,-4.22189488,-3.81169552,16,512400,有色ETF
20250418,航天航空,-1.05,42060.35,-8.0894976,-8.29,-3.49381312,-4.59568448,17,512660,军工ETF
20250418,汽车零部件,0.27,35693.44,-8.70496768,-3.28,-4.11155968,-4.593408,18,515030,新能源车ETF
20250418,贵金属,-1.8,1371.63,-10.27778672,-10.03,-5.170276,-5.10751072,20,512400,有色ETF
20250418,软件开发,0.03,1026.33,-12.52002256,-2.49,-11.04161488,-1.47840768,2,515230,软件ETF
20250418,农牧饲渔,-2.37,13837.07,-14.34062464,-8.03,-5.59661216,-8.74401248,3,510150,消费ETF
20250418,旅游酒店,-4.34,15566.92,-15.7095528,-11.11,-7.54755216,-8.16200064,4,510150,消费ETF
20250418,食品饮料,-3.04,27890.78,-22.92660864,-7.91,-10.75773568,-12.16887296,5,510150,消费ETF
20250418,半导体,-1.29,1403.63,-30.9039136,-6.23,-16.56256832,-14.34134528,6,512480,半导体ETF
